"Desenvolvedor","Data","Commits","Total"
"Ethan A Merritt","2019-04-01",17,4149
"Bastian Maerkisch","2019-05-01",1,4149
"Ethan A Merritt","2019-05-01",13,4149
"Ethan A Merritt","2019-06-01",11,4149
"Ethan A Merritt","2019-07-01",22,4149
"Ethan A Merritt","2019-08-01",8,4149
"Ethan A Merritt","2019-09-01",16,4149
"Ethan A Merritt","2019-10-01",20,4149
"Ethan A Merritt","2019-11-01",11,4149
"Ethan A Merritt","2019-12-01",16,4149
"Bastian Maerkisch","2020-01-01",1,4149
"Ethan A Merritt","2020-01-01",14,4149
"Henri Menke","2020-01-01",2,4149
"Ethan A Merritt","2020-02-01",7,4149
"Ethan A Merritt","2020-03-01",27,4149
"Bastian Maerkisch","2020-04-01",1,4149
"Ethan A Merritt","2020-04-01",18,4149
"Ethan A Merritt","2020-05-01",26,4149
"Ethan A Merritt","2020-06-01",11,4149
"Ethan A Merritt","2020-07-01",17,4149
"Ethan A Merritt","2020-08-01",18,4149
"Ethan A Merritt","2020-09-01",17,4149
"Ethan A Merritt","2020-10-01",13,4149
"Ethan A Merritt","2020-11-01",10,4149
"Bastian Maerkisch","2020-12-01",2,4149
"Ethan A Merritt","2020-12-01",16,4149
"Ethan A Merritt","2021-01-01",3,4149
